"Princess Galyani Vadhana Institute of Music (PGVIM)
Memorandum of Understanding (MoU) Memorandum of Intent (MoI) Letter of Intent (LoI)",,,,,,,,,,,,,,,,
,,,,,,,,,,Activity,,,,,,
No,Name,File,Country,,Status,,Year,Sign date,Expired,2020-2021-2022,2022-2023,2023-2024,2024-2025,Noted,,
National,,,,,,,,,,,,,,,ไทย,จำนวน (แห่ง)
,ระดับมหาวิทยาลัย,,,,,,,,,,,,,,,
1,คณะแพทยศาสตร์และการสาธารณสุข วิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์ ราชวิทยาลัยจุฬาภรณ์,https://drive.google.com/drive/folders/1PhZAEsgDtA07bKVKQW7yL1Y_IP0FcChX?usp=drive_link,Thailand,University,Active,,5,7 July 2021,7 July 2026,,Elective Course,"Elective Course 
Showcase ราชวิทยาลัยจุฬาภรณ์ วันที่ 4 ก.ย. 2567",,,Institute,1
2,สถาบันเทคโนโลยีจิตรลดา,https://drive.google.com/drive/folders/1aS-GUl5Og2zNXSlizNC3lyJ_WA9jsAYz?usp=drive_link,Thailand,Institute,Active,,5,6 December 2023,6 December 2028,,,,,,,
3,มหาวิทยาลัยสงขลานครินทร์,https://drive.google.com/drive/folders/1e4bdP8B06HvW5zYW2-qMYtVPwCp7NAp-?usp=drive_link,Thailand,University,Active,,5,18 July 2024,18 July 2029,,,"- กิจกรรมค่าย Noise, Music, Peace เสียง ดนตรี สันติภาพ
วันที่ 17-22 ก.ค. 2567
- Research กรณีศึกษา 3 จังหวัดชายแดนภาคใต้",,,,
4,มหาวิทยาลัยธรรมศาสตร์,https://drive.google.com/drive/folders/1Avs5JdVxAkOix68FSik2A82op4ORvrS3?usp=sharing,Thailand,University,Active,,5,27 February 2026,27 February 2031,ระบบการเรียนรู้ออนไลน์,ระบบการเรียนรู้ออนไลน์,ระบบการเรียนรู้ออนไลน์,,ใกล้หมดอายุ,University,9
5,มหาวิทยาลัยเชียงใหม่,https://drive.google.com/drive/folders/1XAzsNR6L-cnEkxXOiN6-NaNiCeIJcFAB,Thailand,University,Active,,5,21 October 2024,21 October 2029,,,PGVIS,,นัดลงนามวันที่ 29 ตค อ.ต้อม อ.โหน่ง เดินทางไป ม.เชียงใหม่,,
